DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter223,Bosentan,DDInter582,Dolutegravir,Minor
DDInter351,Chloramphenicol,DDInter582,Dolutegravir,Minor
DDInter416,Clotrimazole,DDInter582,Dolutegravir,Minor
DDInter472,Danazol,DDInter582,Dolutegravir,Minor
DDInter482,Darunavir,DDInter582,Dolutegravir,Minor
DDInter1008,Ketoconazole,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter1118,Magnesium hydroxide,Major
DDInter1209,Miconazole,DDInter582,Dolutegravir,Minor
DDInter1215,Mifepristone,DDInter582,Dolutegravir,Minor
DDInter1925,Vemurafenib,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter85,Amphotericin B,Moderate
DDInter1961,Zidovudine,DDInter86,Amphotericin B (cholesteryl sulfate),Moderate
DDInter1961,Zidovudine,DDInter87,Amphotericin B (lipid complex),Moderate
DDInter351,Chloramphenicol,DDInter1961,Zidovudine,Moderate
DDInter352,Chloramphenicol (ophthalmic),DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter692,Ethinylestradiol,Minor
DDInter1961,Zidovudine,DDInter900,Ibuprofen,Moderate
DDInter1961,Zidovudine,DDInter1266,Naproxen,Moderate
DDInter1961,Zidovudine,DDInter1522,Probenecid,Moderate
DDInter1961,Zidovudine,DDInter1622,Rosuvastatin,Moderate
DDInter1961,Zidovudine,DDInter1724,Sulfamethoxazole,Minor
DDInter44,Alfuzosin,DDInter3,Abametapir (topical),Moderate
DDInter141,Avanafil,DDInter3,Abametapir (topical),Moderate
DDInter223,Bosentan,DDInter3,Abametapir (topical),Moderate
DDInter243,Bromocriptine,DDInter3,Abametapir (topical),Moderate
DDInter398,Clindamycin,DDInter3,Abametapir (topical),Moderate
DDInter439,Conjugated estrogens,DDInter3,Abametapir (topical),Moderate
DDInter480,Darifenacin,DDInter3,Abametapir (topical),Moderate
DDInter482,Darunavir,DDInter3,Abametapir (topical),Moderate
DDInter604,Drospirenone,DDInter3,Abametapir (topical),Moderate
DDInter611,Dutasteride,DDInter3,Abametapir (topical),Moderate
DDInter664,Ergometrine,DDInter3,Abametapir (topical),Moderate
DDInter679,Estradiol,DDInter3,Abametapir (topical),Moderate
DDInter680,Estradiol (topical),DDInter3,Abametapir (topical),Moderate
DDInter682,Estrone,DDInter3,Abametapir (topical),Moderate
DDInter692,Ethinylestradiol,DDInter3,Abametapir (topical),Moderate
DDInter701,Etonogestrel,DDInter3,Abametapir (topical),Moderate
DDInter731,Fesoterodine,DDInter3,Abametapir (topical),Moderate
DDInter736,Finasteride,DDInter3,Abametapir (topical),Moderate
DDInter741,Flibanserin,DDInter3,Abametapir (topical),Moderate
DDInter1008,Ketoconazole,DDInter3,Abametapir (topical),Moderate
DDInter1061,Levonorgestrel,DDInter3,Abametapir (topical),Moderate
DDInter1137,Medroxyprogesterone acetate,DDInter3,Abametapir (topical),Moderate
DDInter1141,Megestrol acetate,DDInter3,Abametapir (topical),Moderate
DDInter1187,Methylergometrine,DDInter3,Abametapir (topical),Moderate
DDInter1215,Mifepristone,DDInter3,Abametapir (topical),Moderate
DDInter1229,Mirabegron,DDInter3,Abametapir (topical),Moderate
DDInter1266,Naproxen,DDInter3,Abametapir (topical),Moderate
DDInter1312,Norethisterone,DDInter3,Abametapir (topical),Moderate
DDInter1315,Norgestrel,DDInter3,Abametapir (topical),Moderate
DDInter1365,Oxybutynin,DDInter3,Abametapir (topical),Moderate
DDInter1529,Progesterone,DDInter3,Abametapir (topical),Moderate
DDInter1530,Progesterone (topical),DDInter3,Abametapir (topical),Moderate
DDInter1666,Sildenafil,DDInter3,Abametapir (topical),Moderate
DDInter1667,Silodosin,DDInter3,Abametapir (topical),Moderate
DDInter1696,Solifenacin,DDInter3,Abametapir (topical),Moderate
DDInter1736,Tadalafil,DDInter3,Abametapir (topical),Moderate
DDInter1745,Tamsulosin,DDInter3,Abametapir (topical),Moderate
DDInter1775,Testosterone,DDInter3,Abametapir (topical),Moderate
DDInter1776,Testosterone (topical),DDInter3,Abametapir (topical),Moderate
DDInter1811,Tinidazole,DDInter3,Abametapir (topical),Moderate
DDInter1832,Tolterodine,DDInter3,Abametapir (topical),Moderate
DDInter1897,Ulipristal,DDInter3,Abametapir (topical),Moderate
DDInter1918,Vardenafil,DDInter3,Abametapir (topical),Moderate
DDInter1925,Vemurafenib,DDInter3,Abametapir (topical),Moderate
DDInter1971,Zonisamide,DDInter3,Abametapir (topical),Moderate
DDInter6,Abciximab,DDInter336,Celecoxib,Moderate
DDInter6,Abciximab,DDInter900,Ibuprofen,Moderate
DDInter6,Abciximab,DDInter1266,Naproxen,Moderate
DDInter6,Abciximab,DDInter1424,Pentosan polysulfate,Moderate
DDInter223,Bosentan,DDInter7,Abemaciclib,Moderate
DDInter351,Chloramphenicol,DDInter7,Abemaciclib,Moderate
