DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter90,Amprenavir,DDInter1,Abacavir,Minor
DDInter1,Abacavir,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter127,Asparaginase Escherichia coli,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter170,Bedaquiline,Moderate
DDInter1,Abacavir,DDInter228,Brentuximab vedotin,Moderate
DDInter1,Abacavir,DDInter262,Cabozantinib,Moderate
DDInter1,Abacavir,DDInter264,Calaspargase pegol,Moderate
DDInter1,Abacavir,DDInter284,Cannabidiol,Moderate
DDInter1,Abacavir,DDInter349,Chloral hydrate,Minor
DDInter363,Chlorpromazine,DDInter1,Abacavir,Minor
DDInter366,Chlorzoxazone,DDInter1,Abacavir,Minor
DDInter392,Cladribine,DDInter1,Abacavir,Moderate
DDInter405,Clofarabine,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter424,Cobicistat,Moderate
DDInter576,Disulfiram,DDInter1,Abacavir,Minor
DDInter624,Efavirenz,DDInter1,Abacavir,Moderate
DDInter655,Epirubicin,DDInter1,Abacavir,Moderate
DDInter690,Ethanol,DDInter1,Abacavir,Minor
DDInter1,Abacavir,DDInter905,Idelalisib,Moderate
DDInter947,Interferon beta-1a,DDInter1,Abacavir,Moderate
DDInter948,Interferon beta-1b,DDInter1,Abacavir,Moderate
DDInter986,Isoniazid,DDInter1,Abacavir,Minor
DDInter1,Abacavir,DDInter1033,Leflunomide,Major
DDInter1,Abacavir,DDInter1085,Lomitapide,Major
DDInter1166,Methadone,DDInter1,Abacavir,Moderate
DDInter1174,Methotrexate,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1228,Mipomersen,Major
DDInter1263,Naltrexone,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1348,Orlistat,Moderate
DDInter1404,Pegaspargase,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1409,Peginterferon beta-1a,Moderate
DDInter1,Abacavir,DDInter1435,Pexidartinib,Major
DDInter1,Abacavir,DDInter1578,Remdesivir,Moderate
DDInter1587,Ribavirin,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1771,Teriflunomide,Major
DDInter1814,Tioguanine,DDInter1,Abacavir,Moderate
DDInter1817,Tipranavir,DDInter1,Abacavir,Moderate
DDInter1,Abacavir,DDInter1840,Trabectedin,Moderate
DDInter58,Aluminum hydroxide,DDInter582,Dolutegravir,Major
DDInter71,Aminoglutethimide,DDInter582,Dolutegravir,Minor
DDInter76,Amiodarone,DDInter582,Dolutegravir,Minor
DDInter81,Amobarbital,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter107,Apalutamide,Major
DDInter112,Aprepitant,DDInter582,Dolutegravir,Minor
DDInter119,Armodafinil,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter126,Asparaginase Erwinia chrysanthemi,Moderate
DDInter127,Asparaginase Escherichia coli,DDInter1019,Lamivudine,Moderate
DDInter129,Atazanavir,DDInter582,Dolutegravir,Moderate
DDInter138,Attapulgite,DDInter582,Dolutegravir,Major
DDInter1019,Lamivudine,DDInter170,Bedaquiline,Moderate
DDInter202,Bexarotene,DDInter1019,Lamivudine,Major
DDInter221,Boceprevir,DDInter582,Dolutegravir,Minor
DDInter223,Bosentan,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter228,Brentuximab vedotin,Moderate
DDInter256,Butabarbital,DDInter582,Dolutegravir,Minor
DDInter257,Butalbital,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter262,Cabozantinib,Moderate
DDInter1019,Lamivudine,DDInter264,Calaspargase pegol,Moderate
DDInter270,Calcium acetate,DDInter582,Dolutegravir,Major
DDInter271,Calcium carbonate,DDInter582,Dolutegravir,Major
DDInter582,Dolutegravir,DDInter273,Calcium citrate,Major
DDInter582,Dolutegravir,DDInter274,Calcium glubionate anhydrous,Major
DDInter582,Dolutegravir,DDInter276,Calcium gluconate,Major
DDInter582,Dolutegravir,DDInter277,Calcium glycerophosphate,Major
DDInter582,Dolutegravir,DDInter278,Calcium lactate,Major
DDInter582,Dolutegravir,DDInter279,Calcium Phosphate,Major
DDInter1019,Lamivudine,DDInter284,Cannabidiol,Moderate
DDInter293,Carbamazepine,DDInter582,Dolutegravir,Major
DDInter975,Iron,DDInter582,Dolutegravir,Major
DDInter338,Cenobamate,DDInter582,Dolutegravir,Minor
DDInter351,Chloramphenicol,DDInter582,Dolutegravir,Minor
DDInter380,Cimetidine,DDInter582,Dolutegravir,Minor
DDInter384,Ciprofloxacin,DDInter582,Dolutegravir,Minor
DDInter392,Cladribine,DDInter1019,Lamivudine,Moderate
DDInter393,Clarithromycin,DDInter582,Dolutegravir,Minor
DDInter405,Clofarabine,DDInter1019,Lamivudine,Moderate
DDInter416,Clotrimazole,DDInter582,Dolutegravir,Minor
DDInter1019,Lamivudine,DDInter424,Cobicistat,Moderate
DDInter438,Conivaptan,DDInter582,Dolutegravir,Minor
DDInter448,Crizotinib,DDInter582,Dolutegravir,Minor
DDInter458,Cyclosporine,DDInter582,Dolutegravir,Minor
DDInter468,Dalfampridine,DDInter582,Dolutegravir,Moderate
DDInter472,Danazol,DDInter582,Dolutegravir,Minor
DDInter482,Darunavir,DDInter582,Dolutegravir,Minor
DDInter484,Dasatinib,DDInter582,Dolutegravir,Minor
DDInter488,Deferasirox,DDInter582,Dolutegravir,Minor
DDInter496,Delavirdine,DDInter582,Dolutegravir,Minor
DDInter513,Dexamethasone,DDInter582,Dolutegravir,Minor
DDInter544,Didanosine,DDInter582,Dolutegravir,Major
DDInter561,Diltiazem,DDInter582,Dolutegravir,Minor
DDInter580,Dofetilide,DDInter582,Dolutegravir,Major
DDInter602,Dronedarone,DDInter582,Dolutegravir,Minor
DDInter624,Efavirenz,DDInter582,Dolutegravir,Major
DDInter582,Dolutegravir,DDInter625,Elagolix,Minor
DDInter1019,Lamivudine,DDInter637,Emtricitabine,Major
DDInter649,Enzalutamide,DDInter582,Dolutegravir,Minor
DDInter655,Epirubicin,DDInter1019,Lamivudine,Moderate
DDInter670,Erythromycin,DDInter582,Dolutegravir,Minor
DDInter703,Etravirine,DDInter582,Dolutegravir,Major
DDInter715,Felbamate,DDInter582,Dolutegravir,Minor
DDInter582,Dolutegravir,DDInter1785,Tetraferric tricitrate decahydrate,Major
DDInter582,Dolutegravir,DDInter725,Ferrous fumarate,Major
DDInter582,Dolutegravir,DDInter726,Ferrous gluconate,Major
DDInter582,Dolutegravir,DDInter727,Ferrous sulfate anhydrous,Major
DDInter743,Fluconazole,DDInter582,Dolutegravir,Minor
