| ddi-0053 | D07AB02 | J05AH01 | Betamethasone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0054 | J05AH01 | R03BA02 | Zidovudine | Budesonide | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0055 | A02BA01 | J05AH01 | Cimetidine | Zidovudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0056 | J01FA06 | J05AH01 | Clarithromycin | Zidovudine | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0057 | H02AB09 | J05AH01 | Dexamethasone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0058 | D07AB01 | J05AH01 | Hydrocortisone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0059 | H02AB01 | J05AH01 | Prednisone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0060 | C10AA04 | J05AH01 | Rosuvastatin | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0061 | C10AA01 | J05AH01 | Simvastatin | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0062 | H02AB08 | J05AH01 | Triamcinolone | Zidovudine | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0063 | A12CA03 | L01XX13 | Ascorbic acid | Paclitaxel | MINOR | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0064 | A02BA01 | L01XX13 | Cimetidine | Paclitaxel | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
| ddi-0065 | J01FA06 | L01XX13 | Clarithromycin | Paclitaxel | MODERATE | [DDInter — see dataset for mechanism narrative] | [DDInter — see dataset for clinical consequence narrative] | [DDInter — see dataset for management narrative] | [DDInter — see dataset for monitoring narrative] | B | [ddinter-v2-2025] | ATC/DDD 2024 | 2026-05-04 |
